feed,사료|먹이|공급하다|수유|사육
displease,불쾌하게 하다|기분이 상하다|못마땅하다
disagree,동의하지 않다|다르다|일치하지 않다
disappear,사라지다|없어지다|실종되다|자취를 감추다|소멸되다
dislike,싫어하다|싫음|좋아하지 않다|반감
disapproval,반대|비난|불만|불허
dishonor,불명예|치욕|부도
disorder,장애|질환|…증|이상|무질서
disgrace,불명예|부끄러운|명예를 더럽히다
discomfort,불안|불편|불쾌
hill,언덕|산|비탈|흙더미
informative,유익한|교육적인|유용한 |정보성
climax,절정|최고점|클라이맥스|극상
wax,왁스|밀랍|귀지|차다|음반
index,지수|지표|색인|인덱스
ox,황소|소
ax,도끼|해고|속셈
mass,대량의|질량|대중의|집단의|덩어리
guideline,지침|가이드라인|기준|정책|방법
usage,사용|활용|실태|용법|양상
instructor,지도자|강사|교사|교관|교수
associate professor,부교수
assistant professor,조교수
professor,교수|박사|선생
quickly,빨리|빠른|신속히|급속히|금방
booklet,소책자|팜플릿|팸플릿
bookmark,서표|장서표|북마크하다
bookmaker,출판자|편집자|편집인
bookcase,책장
wave,파|파도|흔들다|변화|웨이브
doorway,문간|출입구
wonder,궁금하다|이상한|놀라다|경이로운|의심하다
smelly,악취가 나는|역한|냄새 나는
recession,불황|침체|불경기|후퇴|위기
retail,소매|유통|판매|마트|매장
conference,회견|회의|회담|총회|협의
merchandise,상품|물품
refund,환불하다|환급하다|반환하다|돌려주다|상환하다
imaginative,상상의|창의적인
imaginary,상상의|가상의|가식적인
triumph,승리|이기다|성공|업적|수상
catfish,메기
jellyfish,해파리|의지가 약한 사람|강장 동물
